sent0	sent1	label
what high school did <e> go to	ns:sports.drafted_athlete.drafted ?y .?y ns:sports.sports_league_draft_pick.pick_overall ?x .	0
what high school did <e> go to	ns:people.person.place_of_birth ?y .?y ns:location.location.people_born_here ?x .	0
what high school did <e> go to	ns:people.person.place_of_birth ?y .?y ns:type.object.type ?x .	0
what high school did <e> go to	ns:people.person.place_of_birth ?y .?y ns:location.hud_foreclosure_area.total_residential_addresses ?x .	0
what high school did <e> go to	ns:people.person.place_of_birth ?y .?y ns:location.location.containedby ?x .	0
what high school did <e> go to	ns:people.person.place_of_birth ?y .?y ns:location.hud_county_place.county ?x .	0
what high school did <e> go to	ns:sports.pro_athlete.teams ?y .?y ns:sports.sports_team_roster.from ?x .	0
what high school did <e> go to	ns:sports.pro_athlete.teams ?y .?y ns:sports.sports_team_roster.team ?x .	0
what high school did <e> go to	ns:sports.pro_athlete.teams ?y .?y ns:type.object.type ?x .	0
what high school did <e> go to	ns:sports.pro_athlete.teams ?y .?y ns:sports.sports_team_roster.number ?x .	0
what high school did <e> go to	ns:sports.pro_athlete.teams ?y .?y ns:sports.sports_team_roster.to ?x .	0
what high school did <e> go to	ns:people.person.ethnicity ?y .?y ns:people.ethnicity.geographic_distribution ?x .	0
what high school did <e> go to	ns:people.person.ethnicity ?y .?y ns:people.ethnicity.people ?x .	0
what high school did <e> go to	ns:people.person.ethnicity ?y .?y ns:people.ethnicity.included_in_group ?x .	0
what high school did <e> go to	ns:people.person.ethnicity ?y .?y ns:people.ethnicity.includes_groups ?x .	0
what high school did <e> go to	ns:people.person.ethnicity ?y .?y ns:type.object.type ?x .	0
what role did <e> play in endless love?	ns:film.actor.film ?y .?y ns:film.performance.character ?x .	1
what role did <e> play in endless love?	ns:film.producer.film ?y .?y ns:film.film.film_series ?x .	0
what role did <e> play in endless love?	ns:film.producer.film ?y .?y ns:film.film.country ?x .	0
what role did <e> play in endless love?	ns:film.producer.film ?y .?y ns:film.film.cinematography ?x .	0
what role did <e> play in endless love?	ns:film.producer.film ?y .?y ns:film.film.story_by ?x .	0
what role did <e> play in endless love?	ns:film.producer.film ?y .?y ns:film.film.film_format ?x .	0
what role did <e> play in endless love?	ns:tv.tv_actor.starring_roles ?y .?y ns:tv.regular_tv_appearance.character ?x .	0
what role did <e> play in endless love?	ns:tv.tv_actor.starring_roles ?y .?y ns:tv.regular_tv_appearance.actor ?x .	0
what role did <e> play in endless love?	ns:tv.tv_actor.starring_roles ?y .?y ns:type.object.type ?x .	0
what role did <e> play in endless love?	ns:film.person_or_entity_appearing_in_film.films ?y .?y ns:film.personal_film_appearance.film ?x .	0
what role did <e> play in endless love?	ns:film.person_or_entity_appearing_in_film.films ?y .?y ns:film.personal_film_appearance.person ?x .	0
what role did <e> play in endless love?	ns:film.person_or_entity_appearing_in_film.films ?y .?y ns:film.personal_film_appearance.type_of_appearance ?x .	0
what role did <e> play in endless love?	ns:film.person_or_entity_appearing_in_film.films ?y .?y ns:type.object.type ?x .	0
what role did <e> play in endless love?	ns:film.film_story_contributor.film_story_credits ?y .?y ns:film.film.country ?x .	0
what role did <e> play in endless love?	ns:film.film_story_contributor.film_story_credits ?y .?y ns:film.film.cinematography ?x .	0
what role did <e> play in endless love?	ns:film.film_story_contributor.film_story_credits ?y .?y ns:film.film.story_by ?x .	0
what role did <e> play in endless love?	ns:film.film_story_contributor.film_story_credits ?y .?y ns:film.film.featured_film_locations ?x .	0
what role did <e> play in endless love?	ns:film.film_story_contributor.film_story_credits ?y .?y ns:film.film.runtime ?x .	0
what role did <e> play in endless love?	ns:people.person.profession ?y .?y ns:fictional_universe.character_occupation.characters_with_this_occupation ?x .	0
what role did <e> play in endless love?	ns:people.person.profession ?y .?y ns:people.profession.people_with_this_profession ?x .	0
what role did <e> play in endless love?	ns:people.person.profession ?y .?y ns:base.descriptive_names.names.descriptive_name ?x .	0
what role did <e> play in endless love?	ns:people.person.profession ?y .?y ns:common.topic.image ?x .	0
what role did <e> play in endless love?	ns:people.person.profession ?y .?y ns:common.topic.alias ?x .	0
who was <e> when flightplan was released?	ns:government.government_office_or_title.office_holders ?y .?y ns:government.government_position_held.office_holder ?x .	1
who was <e> when flightplan was released?	ns:common.topic.article ?y .?y ns:common.document.text ?x .	0
who was <e> when flightplan was released?	ns:common.topic.article ?y .?y ns:type.object.type ?x .	0
who was <e> when flightplan was released?	ns:common.topic.webpage ?y .?y ns:common.webpage.topic ?x .	0
who was <e> when flightplan was released?	ns:common.topic.webpage ?y .?y ns:type.object.type ?x .	0
who was <e> when flightplan was released?	ns:common.topic.image ?y .?y ns:type.content.length ?x .	0
who was <e> when flightplan was released?	ns:common.topic.image ?y .?y ns:type.content.source ?x .	0
who was <e> when flightplan was released?	ns:common.topic.image ?y .?y ns:type.content.uploaded_by ?x .	0
who was <e> when flightplan was released?	ns:common.topic.image ?y .?y ns:type.content.blob_id ?x .	0
who was <e> when flightplan was released?	ns:common.topic.image ?y .?y ns:common.image.appears_in_topic_gallery ?x .	0
who was <e> when flightplan was released?	ns:common.topic.notable_for ?y .?y ns:common.notable_for.object ?x .	0
who was <e> when flightplan was released?	ns:common.topic.notable_for ?y .?y ns:common.notable_for.notable_object ?x .	0
who was <e> when flightplan was released?	ns:common.topic.notable_for ?y .?y ns:common.notable_for.display_name ?x .	0
who was <e> when flightplan was released?	ns:common.topic.notable_for ?y .?y ns:type.object.type ?x .	0
what is the second <e> book called?	ns:book.literary_series.works_in_this_series ?x .	1
what is the second <e> book called?	ns:book.literary_series.part_of_series ?x .	0
what is the second <e> book called?	ns:book.literary_series.isfdb_id ?x .	0
what is the second <e> book called?	ns:book.literary_series.author_s ?x .	0
what is the second <e> book called?	ns:book.literary_series.fictional_universe ?x .	0
what is the second <e> book called?	ns:type.object.name ?x .	0
who is <e>'s daughter?	ns:people.person.children ?x .	1
who is <e>'s daughter?	ns:people.person.sibling_s ?x .	0
who is <e>'s daughter?	ns:people.person.parents ?x .	0
who is <e>'s daughter?	ns:people.person.spouse_s ?x .	0
who is <e>'s daughter?	ns:people.person.date_of_birth ?x .	0
who is <e>'s daughter?	ns:people.person.height_meters ?x .	0
when did the <e> come out?	ns:book.written_work.date_of_first_publication ?x .	1
when did the <e> come out?	ns:book.written_work.copyright_date ?x .	0
when did the <e> come out?	ns:book.book.editions ?x .	0
when did the <e> come out?	ns:award.award_winning_work.awards_won ?x .	0
when did the <e> come out?	ns:book.written_work.previous_in_series ?x .	0
when did the <e> come out?	ns:book.written_work.isfdb_id ?x .	0
who was the director of the movie <e>	ns:film.film.directed_by ?x .	1
who was the director of the movie <e>	ns:film.film.film_casting_director ?x .	0
who was the director of the movie <e>	ns:film.film.edited_by ?x .	0
who was the director of the movie <e>	ns:film.film.produced_by ?x .	0
who was the director of the movie <e>	ns:film.film.film_art_direction_by ?x .	0
who was the director of the movie <e>	ns:film.film.film_production_design_by ?x .	0
who plays princess <e> in star wars?	ns:tv.tv_character.appeared_in_tv_program ?y .?y ns:tv.regular_tv_appearance.actor ?x .	1
who plays princess <e> in star wars?	ns:film.film_character.portrayed_in_films ?y .?y ns:film.performance.character ?x .	0
who plays princess <e> in star wars?	ns:film.film_character.portrayed_in_films ?y .?y ns:film.performance.actor ?x .	0
who plays princess <e> in star wars?	ns:film.film_character.portrayed_in_films ?y .?y ns:film.performance.film ?x .	0
who plays princess <e> in star wars?	ns:film.film_character.portrayed_in_films ?y .?y ns:film.performance.special_performance_type ?x .	0
who plays princess <e> in star wars?	ns:film.film_character.portrayed_in_films ?y .?y ns:type.object.type ?x .	0
who plays princess <e> in star wars?	ns:fictional_universe.fictional_character.appears_in_these_fictional_universes ?y .?y ns:fictional_universe.fictional_universe.characters ?x .	0
who plays princess <e> in star wars?	ns:fictional_universe.fictional_character.appears_in_these_fictional_universes ?y .?y ns:comic_books.comic_book_fictional_universe.characters_primarily_appearing_in_this_universe ?x .	0
who plays princess <e> in star wars?	ns:fictional_universe.fictional_character.appears_in_these_fictional_universes ?y .?y ns:fictional_universe.fictional_universe.species ?x .	0
who plays princess <e> in star wars?	ns:fictional_universe.fictional_character.appears_in_these_fictional_universes ?y .?y ns:fictional_universe.fictional_universe.languages ?x .	0
who plays princess <e> in star wars?	ns:fictional_universe.fictional_character.appears_in_these_fictional_universes ?y .?y ns:fictional_universe.fictional_universe.locations ?x .	0
who plays princess <e> in star wars?	ns:fictional_universe.fictional_character.species ?y .?y ns:fictional_universe.character_species.found_in_fictional_universe ?x .	0
who plays princess <e> in star wars?	ns:fictional_universe.fictional_character.species ?y .?y ns:fictional_universe.character_species.characters_of_this_species ?x .	0
who plays princess <e> in star wars?	ns:fictional_universe.fictional_character.species ?y .?y ns:type.object.name ?x .	0
who plays princess <e> in star wars?	ns:fictional_universe.fictional_character.species ?y .?y ns:common.topic.notable_for ?x .	0
who plays princess <e> in star wars?	ns:fictional_universe.fictional_character.species ?y .?y ns:common.topic.article ?x .	0
who plays princess <e> in star wars?	ns:fictional_universe.fictional_character.character_created_by ?y .?y ns:film.actor.film ?x .	0
who plays princess <e> in star wars?	ns:fictional_universe.fictional_character.character_created_by ?y .?y ns:film.producer.film ?x .	0
who plays princess <e> in star wars?	ns:fictional_universe.fictional_character.character_created_by ?y .?y ns:film.person_or_entity_appearing_in_film.films ?x .	0
who plays princess <e> in star wars?	ns:fictional_universe.fictional_character.character_created_by ?y .?y ns:tv.tv_actor.starring_roles ?x .	0
who plays princess <e> in star wars?	ns:fictional_universe.fictional_character.character_created_by ?y .?y ns:film.film_story_contributor.film_story_credits ?x .	0
who plays princess <e> in star wars?	ns:base.fictionaluniverse.deceased_fictional_character.date_of_death ?y .?y ns:fictional_universe.fictional_date_time.portrayed_in ?x .	0
who plays princess <e> in star wars?	ns:base.fictionaluniverse.deceased_fictional_character.date_of_death ?y .?y ns:type.object.type ?x .	0
what film <e> starred in that billy chung directed	ns:film.actor.film ?y .?y ns:film.performance.film ?x .	1
what film <e> starred in that billy chung directed	ns:film.person_or_entity_appearing_in_film.films ?y .?y ns:film.personal_film_appearance.film ?x .	0
what film <e> starred in that billy chung directed	ns:film.person_or_entity_appearing_in_film.films ?y .?y ns:film.personal_film_appearance.type_of_appearance ?x .	0
what film <e> starred in that billy chung directed	ns:film.person_or_entity_appearing_in_film.films ?y .?y ns:film.personal_film_appearance.person ?x .	0
what film <e> starred in that billy chung directed	ns:film.person_or_entity_appearing_in_film.films ?y .?y ns:type.object.type ?x .	0
what film <e> starred in that billy chung directed	ns:award.award_winner.awards_won ?y .?y ns:award.award_honor.award ?x .	0
what film <e> starred in that billy chung directed	ns:award.award_winner.awards_won ?y .?y ns:award.award_honor.honored_for ?x .	0
what film <e> starred in that billy chung directed	ns:award.award_winner.awards_won ?y .?y ns:award.award_honor.award_winner ?x .	0
what film <e> starred in that billy chung directed	ns:award.award_winner.awards_won ?y .?y ns:award.award_honor.year ?x .	0
what film <e> starred in that billy chung directed	ns:award.award_winner.awards_won ?y .?y ns:award.award_honor.ceremony ?x .	0
what film <e> starred in that billy chung directed	ns:people.person.profession ?y .?y ns:fictional_universe.character_occupation.characters_with_this_occupation ?x .	0
what film <e> starred in that billy chung directed	ns:people.person.profession ?y .?y ns:people.profession.people_with_this_profession ?x .	0
what film <e> starred in that billy chung directed	ns:people.person.profession ?y .?y ns:base.descriptive_names.names.descriptive_name ?x .	0
what film <e> starred in that billy chung directed	ns:people.person.profession ?y .?y ns:common.topic.alias ?x .	0
what film <e> starred in that billy chung directed	ns:people.person.profession ?y .?y ns:base.schemastaging.context_name.pronunciation ?x .	0
what film <e> starred in that billy chung directed	ns:award.award_nominee.award_nominations ?y .?y ns:award.award_nomination.award ?x .	0
what film <e> starred in that billy chung directed	ns:award.award_nominee.award_nominations ?y .?y ns:award.award_nomination.nominated_for ?x .	0
what film <e> starred in that billy chung directed	ns:award.award_nominee.award_nominations ?y .?y ns:award.award_nomination.award_nominee ?x .	0
what film <e> starred in that billy chung directed	ns:award.award_nominee.award_nominations ?y .?y ns:award.award_nomination.notes_description ?x .	0
what film <e> starred in that billy chung directed	ns:award.award_nominee.award_nominations ?y .?y ns:award.award_nomination.year ?x .	0
who did herbert hoover label <e> no 1?	ns:film.film.subjects ?x .	1
who did herbert hoover label <e> no 1?	ns:common.topic.notable_types ?x .	0
who did herbert hoover label <e> no 1?	ns:award.award_nominated_work.award_nominations ?x .	0
who did herbert hoover label <e> no 1?	ns:common.topic.notable_for ?x .	0
who did herbert hoover label <e> no 1?	ns:film.film.other_crew ?x .	0
who did herbert hoover label <e> no 1?	ns:film.film.distributors ?x .	0
who does <e> play in seinfeld?	ns:tv.tv_actor.starring_roles ?y .?y ns:tv.regular_tv_appearance.character ?x .	1
who does <e> play in seinfeld?	ns:film.actor.film ?y .?y ns:film.performance.character ?x .	0
who does <e> play in seinfeld?	ns:film.actor.film ?y .?y ns:film.performance.character_note ?x .	0
who does <e> play in seinfeld?	ns:film.actor.film ?y .?y ns:film.performance.film ?x .	0
who does <e> play in seinfeld?	ns:film.actor.film ?y .?y ns:film.performance.special_performance_type ?x .	0
who does <e> play in seinfeld?	ns:film.actor.film ?y .?y ns:film.performance.actor ?x .	0
who does <e> play in seinfeld?	ns:people.person.profession ?y .?y ns:fictional_universe.character_occupation.characters_with_this_occupation ?x .	0
