sent0	sent1	hard_neg
where was the first <e> located?	ns:organization.organization.headquarters ?y .?y ns:location.mailing_address.citytown ?x .	ns:base.cars_refactor.make.parent_company ?y .?y ns:base.cars_refactor.company_make_relationship.make ?x .
what is the episode of family guy when <e> makes his own country?	ns:visual_art.art_subject.artwork_on_the_subject ?x .	ns:type.object.name ?x .
who does <e> play for 2012?	ns:base.schemastaging.athlete_extra.salary ?y .?y ns:base.schemastaging.athlete_salary.team ?x .	ns:soccer.football_player.matches_played ?y .?y ns:soccer.football_player_match_participation.shirt_number ?x .
which virgo person was the daughter of <e>	ns:people.person.children ?x .	ns:music.group_member.instruments_played ?x .
when do we change the clocks in 2011 in <e>?	ns:location.country.internet_tld ?x .	ns:law.court_jurisdiction_area.courts ?x .
who is the author of <e>?	ns:film.film.story_by ?x .	ns:film.film.written_by ?x .
who is the current leader of <e> today?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:government.governmental_jurisdiction.government_bodies ?y .?y ns:government.governmental_body.members ?x .
who was <e>'s first girlfriend?	ns:people.person.employment_history ?y .?y ns:business.employment_tenure.company ?x .	ns:people.person.parents ?y .?y ns:kg.object_profile.prominent_type ?x .
who played <e> in the 1991 robin hood?	ns:film.film_character.portrayed_in_films ?y .?y ns:film.performance.actor ?x .	ns:fictional_universe.fictional_character.occupation ?y .?y ns:common.topic.notable_types ?x .
when did <e> won the gold medal?	ns:olympics.olympic_athlete.country ?y .?y ns:olympics.olympic_athlete_affiliation.olympics ?x .	ns:sports.pro_athlete.sports_played_professionally ?y .?y ns:type.object.type ?x .
who starred in a chorus line and <e>?	ns:film.film.starring ?y .?y ns:film.performance.actor ?x .	ns:film.film.distributors ?y .?y ns:film.film_film_distributor_relationship.year ?x .
who will <e> play for in 2013?	ns:sports.pro_athlete.teams ?y .?y ns:sports.sports_team_roster.team ?x .	ns:soccer.football_player.statistics ?y .?y ns:soccer.football_player_stats.to ?x .
where did <e> play high school basketball?	ns:people.person.education ?y .?y ns:education.education.institution ?x .	ns:people.person.place_of_birth ?y .?y ns:location.hud_foreclosure_area.total_residential_addresses ?x .
who was the original voice of <e> on family guy?	ns:tv.tv_character.appeared_in_tv_program ?y .?y ns:tv.regular_tv_appearance.actor ?x .	ns:tv.tv_character.first_tv_appearance ?y .?y ns:tv.tv_series_episode.next_episode ?x .
who is playing <e> in the hobbit movie?	ns:film.film_character.portrayed_in_films ?y .?y ns:film.performance.actor ?x .	ns:film.film_character.portrayed_in_films_dubbed ?y .?y ns:film.dubbing_performance.actor ?x .
which film starring <e> was released in 1988	ns:film.actor.film ?y .?y ns:film.performance.film ?x .	ns:tv.tv_actor.starring_roles ?y .?y ns:tv.regular_tv_appearance.series ?x .
which <e> was the daughter of charles perkins	ns:people.profession.people_with_this_profession ?x .	ns:common.topic.article ?x .
what was <e> name in juice?	ns:film.actor.film ?y .?y ns:film.performance.character ?x .	ns:film.person_or_entity_appearing_in_film.films ?y .?y ns:type.object.type ?x .
who owns <e> 2012?	ns:organization.organization.leadership ?y .?y ns:organization.leadership.person ?x .	ns:organization.organization.legal_structure ?y .?y ns:business.company_type.companies_of_this_type ?x .
who was the prime minister of <e> in 1998?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:government.governmental_jurisdiction.government_bodies ?y .?y ns:government.governmental_body.offices_positions ?x .
what team does <e> play for in 2011?	ns:base.schemastaging.athlete_extra.salary ?y .?y ns:base.schemastaging.athlete_salary.team ?x .	ns:sports.pro_athlete.teams ?y .?y ns:sports.sports_team_roster.to ?x .
where did <e> live after the civil war?	ns:people.deceased_person.place_of_death ?x .	ns:people.person.nationality ?x .
who does the voice of kovu in <e>?	ns:film.film.starring ?y .?y ns:film.performance.actor ?x .	ns:film.film.release_date_s ?y .?y ns:film.film_regional_release_date.film ?x .
who is the prime minister of <e> now?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:location.statistical_region.gender_balance_members_of_parliament ?y .?y ns:measurement_unit.dated_percentage.date ?x .
who was the first wife of <e> muhammad?	ns:people.person.spouse_s ?y .?y ns:people.marriage.spouse ?x .	ns:people.person.parents ?y .?y ns:people.person.sibling_s ?x .
where does <e> live now?	ns:people.person.places_lived ?y .?y ns:people.place_lived.location ?x .	ns:music.artist.origin ?y .?y ns:location.location.containedby ?x .
who does jodelle ferland play in <e>?	ns:film.film.starring ?y .?y ns:film.performance.character ?x .	ns:film.film.other_crew ?y .?y ns:type.object.type ?x .
which academic <e> did alan v oppenheim attend	ns:education.educational_institution.nickname ?x .	ns:education.educational_institution.faculty ?x .
what will happen to <e> when it defaults?	ns:organization.organization_member.member_of ?y .?y ns:organization.organization_membership.organization ?x .	ns:location.statistical_region.net_migration ?y .?y ns:type.object.type ?x .
who is <e> married to 2012?	ns:people.person.spouse_s ?y .?y ns:people.marriage.spouse ?x .	ns:tv.tv_actor.guest_roles ?y .?y ns:tv.tv_guest_role.episodes_appeared_in ?x .
which movie did <e> star in in 1996	ns:film.actor.film ?y .?y ns:film.performance.film ?x .	ns:film.person_or_entity_appearing_in_film.films ?y .?y ns:film.personal_film_appearance.film ?x .
who does <e> work for now?	ns:people.person.employment_history ?y .?y ns:business.employment_tenure.company ?x .	ns:people.person.education ?y .?y ns:education.education.institution ?x .
who is the current leader of <e> today?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:location.statistical_region.gender_balance_members_of_parliament ?y .?y ns:type.object.type ?x .
what was <e>'s father's name?	ns:people.person.parents ?x .	ns:people.person.children ?x .
which tv producer was the daughter of <e>	ns:people.person.children ?x .	ns:sports.pro_athlete.sports_played_professionally ?x .
who was the governor of <e> in 1996?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:government.governmental_jurisdiction.agencies ?y .?y ns:government.government_agency.jurisdiction ?x .
which academic <e> did alan v oppenheim attend	ns:education.educational_institution.nickname ?x .	ns:education.university.departments ?x .
where did <e> live before he died?	ns:music.artist.origin ?x .	ns:people.deceased_person.place_of_death ?x .
which film starring <e> was released in 2005	ns:film.actor.film ?y .?y ns:film.performance.film ?x .	ns:film.person_or_entity_appearing_in_film.films ?y .?y ns:type.object.type ?x .
who played carl fredricksen in <e>?	ns:film.film.starring ?y .?y ns:film.performance.actor ?x .	ns:film.film.other_crew ?y .?y ns:film.film_crew_gig.crewmember ?x .
who was <e> to grow tomatoes?	ns:media_common.dedicatee.dedications ?y .?y ns:media_common.dedication.dedicated_to ?x .	ns:base.honouriam.honoured_person.honoured_by ?y .?y ns:base.inspiration.inspiration.inspired_by ?x .
who was the actress in the movie <e>?	ns:film.film.starring ?y .?y ns:film.performance.actor ?x .	ns:film.film.language ?y .?y ns:base.schemastaging.context_name.short_name ?x .
which leadership was the son of <e> of denmark	ns:people.person.sibling_s ?y .?y ns:people.sibling_relationship.sibling ?x .	ns:people.person.parents ?y .?y ns:royalty.chivalric_order_member.belongs_to_order ?x .
what are five countries that border <e>?	ns:location.location.adjoin_s ?y .?y ns:location.adjoining_relationship.adjoins ?x .	ns:military.military_combatant.military_conflicts ?y .?y ns:military.military_combatant_group.combatants ?x .
who won 2012 presidential election in <e>?	ns:business.employer.employees ?y .?y ns:business.employment_tenure.person ?x .	ns:military.military_combatant.military_commanders ?y .?y ns:type.object.type ?x .
who played bob ewell in <e>?	ns:film.film.starring ?y .?y ns:film.performance.actor ?x .	ns:film.film.directed_by ?y .?y ns:people.person.sibling_s ?x .
who are the senators of <e> 2013?	ns:government.political_district.representatives ?y .?y ns:government.government_position_held.office_holder ?x .	ns:government.governmental_jurisdiction.agencies ?y .?y ns:common.topic.notable_for ?x .
who did <e> fight against in ww1?	ns:military.military_combatant.military_conflicts ?y .?y ns:military.military_combatant_group.combatants ?x .	ns:military.military_combatant.casualties ?y .?y ns:type.object.type ?x .
what year was the first <e>?	ns:time.recurring_event.instances ?x .	ns:time.recurring_event.current_frequency ?x .
what group of islands is <e> a part of	ns:location.country.national_anthem ?y .?y ns:government.national_anthem_of_a_country.country ?x .	ns:location.location.containedby ?y .?y ns:location.location.partially_containedby ?x .
who played betty rizzo in <e>?	ns:film.film.starring ?y .?y ns:film.performance.actor ?x .	ns:film.film.runtime ?y .?y ns:type.object.type ?x .
what role did Anna Kendrick play in Twilight?	ns:film.film.starring ?y .?y ns:film.performance.character ?x .	ns:film.film.cinematography ?y .?y ns:people.person.nationality ?x .
who is the leader of <e> now?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.appointed_by ?x .	ns:military.military_combatant.military_commanders ?y .?y ns:type.object.type ?x .
who was the first wife of <e> muhammad?	ns:people.person.spouse_s ?y .?y ns:people.marriage.spouse ?x .	ns:kp_lw.philosophy_influencer.influencee ?y .?y ns:influence.influence_node.influenced_by ?x .
who played michael myers in <e>?	ns:film.film.starring ?y .?y ns:film.performance.actor ?x .	ns:film.film.directed_by ?y .?y ns:film.director.film ?x .
who was governor of <e> when revolutionary road was released?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.appointed_by ?x .	ns:government.political_district.elections ?y .?y ns:government.election.district ?x .
which movie won best cinematography when <e> won best director?	ns:award.award_nominee.award_nominations ?y .?y ns:award.award_nomination.nominated_for ?x .	ns:film.director.film ?y .?y ns:film.film.film_casting_director ?x .
what did <e> do when he was president?	ns:event.public_speaker.speeches_or_presentations ?y .?y ns:event.speech_or_presentation.speech_topic ?x .	ns:government.politician.government_positions_held ?y .?y ns:government.government_position_held.basic_title ?x .
what happened to <e> after he was released from jail?	ns:government.politician.government_positions_held ?y .?y ns:government.government_position_held.office_position_or_title ?x .	ns:people.person.places_lived ?y .?y ns:people.place_lived.start_date ?x .
which album did <e> release in april 2000	ns:music.artist.album ?x .	ns:music.featured_artist.recordings ?x .
who was the president of <e> when ezra taft benson was born?	ns:government.political_district.representatives ?y .?y ns:government.government_position_held.office_holder ?x .	ns:fictional_universe.fictional_setting.characters_that_have_lived_here ?y .?y ns:fictional_universe.fictional_character.ethnicity ?x .
what character did Johnny Lewis play in Sons of Anarchy?	ns:tv.tv_program.regular_cast ?y .?y ns:tv.regular_tv_appearance.character ?x .	ns:tv.tv_program.seasons ?y .?y ns:tv.tv_series_season.episodes ?x .
who does <e> play in breaking dawn?	ns:film.actor.film ?y .?y ns:film.performance.character ?x .	ns:tv.tv_actor.starring_roles ?y .?y ns:tv.regular_tv_appearance.series ?x .
what hong kong films has <e> acted in	ns:film.actor.film ?y .?y ns:film.performance.film ?x .	ns:base.schemastaging.tv_actor_extra.regular_dubbing_performances ?y .?y ns:base.schemastaging.tv_star_dubbing_performance.actor ?x .
what team does <e> play for 2011 season?	ns:sports.pro_athlete.teams ?y .?y ns:sports.sports_team_roster.team ?x .	ns:user.szaijan.fantasy_football.player.nfl_team ?y .?y ns:american_football.football_team.home_games ?x .
what state did <e> live in?	ns:government.politician.government_positions_held ?y .?y ns:government.government_position_held.jurisdiction_of_office ?x .	ns:people.deceased_person.place_of_death ?y .?y ns:base.lewisandclark.places_westward.from ?x .
what film bill <e> starred in that billy wilder directed	ns:film.actor.film ?y .?y ns:film.performance.film ?x .	ns:film.producer.films_executive_produced ?y .?y ns:film.film.film_casting_director ?x .
who succeeded william mckinley as <e>?	ns:business.job_title.people_with_this_title ?y .?y ns:business.employment_tenure.person ?x .	ns:government.political_appointer.appointees ?y .?y ns:government.government_position_held.appointed_by ?x .
what tv shows has <e> been in	ns:tv.tv_actor.starring_roles ?y .?y ns:tv.regular_tv_appearance.series ?x .	ns:film.producer.film ?y .?y ns:media_common.netflix_title.netflix_genres ?x .
who was <e> in 2003?	ns:government.government_office_or_title.office_holders ?y .?y ns:government.government_position_held.office_holder ?x .	ns:common.topic.notable_types ?y .?y ns:type.type.domain ?x .
what role did <e> play in endless love?	ns:film.actor.film ?y .?y ns:film.performance.character ?x .	ns:film.person_or_entity_appearing_in_film.films ?y .?y ns:film.personal_film_appearance.film ?x .
who has gone out with <e>	ns:people.person.spouse_s ?y .?y ns:people.marriage.spouse ?x .	ns:people.person.profession ?y .?y ns:common.topic.notable_for ?x .
which film starring <e> was released in 1994	ns:film.actor.film ?y .?y ns:film.performance.film ?x .	ns:people.person.place_of_birth ?y .?y ns:sports.sports_team_location.teams ?x .
what year did president Obama graduate from Columbia University?	ns:education.educational_institution.students_graduates ?y .?y ns:education.education.end_date ?x .	ns:education.educational_institution.total_enrollment ?y .?y ns:measurement_unit.dated_integer.number ?x .
where was the first <e> located?	ns:organization.organization.headquarters ?y .?y ns:location.mailing_address.citytown ?x .	ns:symbols.namesake.named_after ?y .?y ns:people.person.places_lived ?x .
which <e> fought with cromwell during the english civil war?	ns:people.person.places_lived ?y .?y ns:people.place_lived.person ?x .	ns:people.person.quotations ?y .?y ns:media_common.quotation.quotationsbook_id ?x .
what did <e> won an oscar for?	ns:award.award_winner.awards_won ?y .?y ns:award.award_honor.honored_for ?x .	ns:tv.tv_program_guest.appeared_on ?y .?y ns:tv.tv_guest_personal_appearance.episode ?x .
who plays the voice of lois griffin on <e>?	ns:tv.tv_program.regular_cast ?y .?y ns:tv.regular_tv_appearance.actor ?x .	ns:tv.tv_program.recurring_writers ?y .?y ns:tv.tv_program_writer_relationship.end_date ?x .
when are school holidays in <e> 2011?	ns:location.location.contains ?x .	ns:location.location.people_born_here ?x .
which album did <e> release in march 2006	ns:music.artist.album ?x .	ns:music.featured_artist.recordings ?x .
who is the voice of <e> meg griffin?	ns:tv.tv_program.regular_cast ?y .?y ns:tv.regular_tv_appearance.actor ?x .	ns:tv.tv_program.episodes ?y .?y ns:tv.tv_series_episode.guest_stars ?x .
who was <e> president when oliver ernest goonetilleke was a teenager	ns:government.political_district.representatives ?y .?y ns:government.government_position_held.office_holder ?x .	ns:user.exooo.default_domain.head_of_state.president ?y .?y ns:business.employment_tenure.from ?x .
who has played the most champions league games paul scholes or <e>?	ns:fictional_universe.person_in_fiction.representations_in_fiction ?x .	ns:sports.pro_athlete.sports_played_professionally ?x .
which man was the son of <e>	ns:people.person.children ?x .	ns:people.person.gender ?x .
who was the first host of <e>?	ns:tv.tv_program.regular_cast ?y .?y ns:tv.regular_tv_appearance.actor ?x .	ns:tv.tv_program.regular_personal_appearances ?y .?y ns:tv.tv_regular_personal_appearance.person ?x .
where did <e> live before he became president?	ns:people.person.places_lived ?y .?y ns:people.place_lived.location ?x .	ns:government.politician.government_positions_held ?y .?y ns:government.government_position_held.governmental_body ?x .
who is ruling <e> now?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:government.governmental_jurisdiction.government_bodies ?y .?y ns:government.governmental_body.jurisdiction ?x .
who was born on the same day as <e>	ns:people.person.education ?y .?y ns:education.education.student ?x .	ns:people.person.gender ?y .?y ns:base.thoroughbredracing.thoroughbred_racehorse_sex.horses_of_this_sex ?x .
who directed the first <e>?	ns:film.film.directed_by ?x .	ns:film.film.film_casting_director ?x .
which movie did <e> star in in 1996	ns:film.actor.film ?y .?y ns:film.performance.film ?x .	ns:tv.tv_actor.starring_roles ?y .?y ns:tv.regular_tv_appearance.character ?x .
which singer was the daughter of <e>	ns:people.person.children ?x .	ns:music.artist.label ?x .
who plays the wife in <e>?	ns:tv.tv_program.regular_cast ?y .?y ns:tv.regular_tv_appearance.actor ?x .	ns:tv.tv_program.seasons ?y .?y ns:tv.tv_series_season.from ?x .
who was the quarterback for the Bears before Cutler?	ns:sports.professional_sports_team.draft_picks ?y .?y ns:sports.sports_league_draft_pick.player ?x .	ns:american_football.football_team.historical_coaching_staff ?y .?y ns:american_football.football_historical_coach_position.position ?x .
who is playing <e> in the hobbit movie?	ns:film.film_character.portrayed_in_films ?y .?y ns:film.performance.actor ?x .	ns:fictional_universe.fictional_character.character_created_by ?y .?y ns:people.person.date_of_birth ?x .
who is <e> playing in perks of being a wallflower?	ns:film.actor.film ?y .?y ns:film.performance.character ?x .	ns:tv.tv_actor.guest_roles ?y .?y ns:tv.tv_guest_role.episodes_appeared_in ?x .
who plays sarah wittle in <e>?	ns:film.film.starring ?y .?y ns:film.performance.actor ?x .	ns:film.film.language ?y .?y ns:fictional_universe.fictional_language.where_spoken ?x .
what high school did <e> bill clinton attend?	ns:people.person.education ?y .?y ns:education.education.institution ?x .	ns:people.person.employment_history ?y .?y ns:business.employment_tenure.to ?x .
who played <e> on all in the family?	ns:tv.tv_character.appeared_in_tv_program ?y .?y ns:tv.regular_tv_appearance.actor ?x .	ns:fictional_universe.fictional_character.ethnicity ?y .?y ns:people.ethnicity.includes_groups ?x .
who is the governor of <e> currently?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:government.governmental_jurisdiction.government_positions ?y .?y ns:common.topic.notable_types ?x .
what film <e> starred in that joseph pevney directed	ns:film.actor.film ?y .?y ns:film.performance.film ?x .	ns:people.person.profession ?y .?y ns:base.descriptive_names.names.descriptive_name ?x .
which non-business organization did <e> attend?	ns:people.person.education ?y .?y ns:education.education.institution ?x .	ns:common.topic.notable_for ?y .?y ns:type.object.type ?x .
who did <e> marry first?	ns:people.person.spouse_s ?y .?y ns:people.marriage.spouse ?x .	ns:people.person.children ?y .?y ns:people.person.nationality ?x .
who plays saruman in <e>?	ns:film.film.starring ?y .?y ns:film.performance.actor ?x .	ns:film.film.release_date_s ?y .?y ns:film.film_regional_release_date.release_date ?x .
what hong kong films has <e> acted in	ns:film.actor.film ?y .?y ns:film.performance.film ?x .	ns:tv.tv_actor.starring_roles ?y .?y ns:tv.regular_tv_appearance.seasons ?x .
what literary genre is <e>	ns:book.book.genre ?x .	ns:fictional_universe.work_of_fiction.setting ?x .
when does school start in <e> 2011?	ns:travel.travel_destination.climate ?y .?y ns:travel.travel_destination_monthly_climate.month ?x .	ns:periodicals.newspaper_circulation_area.newspapers ?y .?y ns:book.periodical.frequency_or_issues_per_year ?x .
what character did Eddie Murphy play in Dreamgirls?	ns:film.film.starring ?y .?y ns:film.performance.character ?x .	ns:film.film.film_format ?y .?y ns:film.film_format.film_format ?x .
who portrayed <e> in raiders of the lost ark?	ns:tv.tv_character.appeared_in_tv_episodes ?y .?y ns:tv.tv_guest_role.actor ?x .	ns:fictional_universe.fictional_character.appears_in_these_fictional_universes ?y .?y ns:user.gromul.my_comic_book_domain.media_franchise.film ?x .
what school did <e> go to before auburn?	ns:people.person.education ?y .?y ns:education.education.institution ?x .	ns:base.schemastaging.athlete_extra.salary ?y .?y ns:base.schemastaging.athlete_salary.team ?x .
which cambridge college did <e> go to	ns:people.person.education ?y .?y ns:education.education.institution ?x .	ns:people.person.gender ?y .?y ns:award.award_discipline.awards_in_this_discipline ?x .
what has <e> starred in that priyadarshan directed	ns:film.actor.film ?y .?y ns:film.performance.film ?x .	ns:film.film_story_contributor.film_story_credits ?y .?y ns:film.film.story_by ?x .
who are the current <e> senators?	ns:government.political_district.representatives ?y .?y ns:government.government_position_held.office_holder ?x .	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_position_or_title ?x .
who was the British leader during the Cold War?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:military.military_combatant.military_commanders ?y .?y ns:military.military_command.military_combatant ?x .
when did mcgee start on <e>?	ns:tv.tv_program.regular_cast ?y .?y ns:tv.regular_tv_appearance.seasons ?x .	ns:tv.tv_program.program_creator ?y .?y ns:tv.tv_actor.guest_roles ?x .
what english films has <e> acted in	ns:film.actor.film ?y .?y ns:film.performance.film ?x .	ns:music.featured_artist.recordings ?y .?y ns:music.recording.song ?x .
what countries were occupied by Germany in world war 2?	ns:location.location.adjoin_s ?y .?y ns:location.adjoining_relationship.adjoins ?x .	ns:military.military_combatant.military_conflicts ?y .?y ns:military.military_combatant_group.conflict ?x .
who is the current governor of Arizona in 2010?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:government.political_district.representatives ?y .?y ns:government.government_position_held.district_represented ?x .
what college did <e> go to?	ns:people.person.education ?y .?y ns:education.education.institution ?x .	ns:people.person.place_of_birth ?y .?y ns:location.location.containedby ?x .
what soviet films has <e> acted in	ns:film.actor.film ?y .?y ns:film.performance.film ?x .	ns:people.deceased_person.place_of_death ?y .?y ns:book.book_subject.works ?x .
who is the prime minister of <e> now?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:royalty.kingdom.rulers ?y .?y ns:common.topic.notable_for ?x .
what state did <e> live in?	ns:government.politician.government_positions_held ?y .?y ns:government.government_position_held.jurisdiction_of_office ?x .	ns:people.person.employment_history ?y .?y ns:business.employment_tenure.person ?x .
what is the government of <e> today?	ns:location.country.form_of_government ?x .	ns:location.statistical_region.gender_balance_members_of_parliament ?x .
who is <e> 2012?	ns:government.government_office_or_title.office_holders ?y .?y ns:government.government_position_held.office_holder ?x .	ns:common.topic.notable_types ?y .?y ns:freebase.type_profile.instance_count ?x .
